ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION
8900969,old,newRenov,saburtalo,20,1,0,2,2,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,508,1250,1075
8782576,old,oldRenov,mtawminda,20,1,0,1,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,752,1250,1442
8934001,old,oldRenov,vake,22,1,1,1,9,14,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,115,909,1102
8813882,old,newRenov,chugureti,23,2,1,1,2,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,324,1391,1207
8928409,old,oldRenov,chugureti,23,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,64,1957,1335
8940430,old,newRenov,didube,23,1,1,1,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103,1000,835
8959753,old,newRenov,saburtalo,26,1,1,1,4,6,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,12,942,928
8883204,old,oldRenov,saburtalo,26,2,1,1,1,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,310,769,894
8885003,new,newRenov,varketili,28,1,0,1,7,10,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,304,868,814
8923544,old,oldRenov,didube,28,1,2,2,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,243,750,687
8925783,old,oldRenov,chugureti,29,2,1,0,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,432,1207,1032
8907158,old,newRenov,didDigomi,29,2,1,1,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213,734,640
8906933,new,newRenov,vake,30,1,1,2,1,9,0,12,0,1,0,0,1,1,1,0,1,1,0,0,0,0,201,1397,1373
8924509,old,newRenov,vake,30,1,1,3,1,5,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,95,1333,1202
8932770,old,newRenov,vaja,30,1,1,2,5,5,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,76,1000,1027
8958379,old,newRenov,didube,30,2,1,1,2,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,27,867,765
8902681,old,oldRenov,vaja,30,1,1,1,4,5,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,244,950,849
8902628,old,oldRenov,vaja,30,1,1,1,4,5,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,345,950,849
8932188,old,oldRenov,saburtalo,30,1,1,1,5,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,171,1167,990
8934761,old,oldRenov,vaja,30,1,1,2,1,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,123,933,902
8907903,new,newRenov,didDigomi,30,2,1,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,691,833,730
8894750,old,oldRenov,vaja,30,1,1,1,4,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,401,950,903
8938025,new,newRenov,didDigomi,32,2,1,1,12,2,2,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,212,716,701
8868097,new,newRenov,didDigomi,32,2,1,1,3,3,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,343,688,691
8827649,old,oldRenov,mtawminda,32,2,1,1,2,2,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1988,781,1220
8879572,new,newRenov,varketili,32,1,1,1,3,6,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,107,906,746
8953475,old,newRenov,vaja,32,1,0,1,4,5,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,25,1047,964
8936411,old,newRenov,vaja,32,1,0,1,4,5,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,94,1047,963
8844218,new,newRenov,didDigomi,32,2,1,1,2,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,491,750,737
8935241,old,oldRenov,samgori,32,1,1,1,5,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,51,719,581
8955820,old,newRenov,saburtalo,33,2,1,1,5,5,3,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,28,1200,1032
8758208,old,oldRenov,didube,33,1,1,1,1,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,951,606,654
8949159,old,newRenov,samgori,33,1,1,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,88,636,631
8953149,old,newRenov,didube,33,1,1,1,1,2,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,59,758,743
8927019,old,newRenov,nadzaladevi,33,1,0,1,6,8,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,135,758,720
8939224,new,newRenov,nadzaladevi,33,2,1,1,8,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,727,840
8957887,new,white,saburtalo,33,2,1,1,1,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,25,606,779
8923972,old,newRenov,chugureti,33,1,0,1,2,3,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,176,1000,1000
8924747,new,newRenov,isani,34,1,0,1,8,12,4,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,107,1147,1021
8927293,new,newRenov,saburtalo,34,2,1,1,3,5,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,152,956,1008
8938193,old,newRenov,vaja,34,2,1,1,2,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,142,1088,1003
8935300,old,oldRenov,vera,34,1,1,1,3,3,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,139,853,986
8850090,old,newRenov,saburtalo,34,1,1,1,2,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1003,847,915
8908551,old,oldRenov,isani,35,1,1,1,5,5,5,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,341,629,594
8951370,old,newRenov,saburtalo,35,1,1,2,1,5,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,35,1143,1007
8898288,old,oldRenov,gldani,35,2,1,1,8,9,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,816,657,597
8927316,old,oldRenov,digmisMas,35,1,1,1,1,5,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,164,726,678
8811655,old,newRenov,ortawala,35,1,1,1,1,4,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,789,857,817
8933498,old,oldRenov,sololaki,35,1,1,1,2,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,94,1286,1389
8931510,old,oldRenov,temqa,35,1,0,1,5,8,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,119,586,554
8930169,old,oldRenov,varketili,35,1,0,1,1,9,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,95,709,603
8933596,WIP,white,vake,35,2,1,2,2,9,5,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,65,1029,1076
8932581,new,white,didDigomi,35,1,1,1,8,12,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119,600,574
8929566,old,oldRenov,saburtalo,35,1,1,2,2,8,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,189,1000,901
8935532,new,white,varketili,35,2,1,1,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,600,592
8486816,WIP,black,saburtalo,35,2,1,1,13,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1460,971,796
8793908,new,white,saburtalo,35,2,1,1,4,14,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1238,1114,1001
8932698,old,oldRenov,sandzona,35,1,1,1,1,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,167,657,557
8925894,old,oldRenov,temqa,35,1,1,1,3,5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,198,657,496
8914959,old,newRenov,saburtalo,35,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,857,955
8945299,new,newRenov,vake,36,1,1,1,1,11,6,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,48,1161,1308
8850242,old,newRenov,varketili,36,1,1,2,7,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,329,667,622
8925396,new,newRenov,gldani,36,2,1,1,7,10,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,104,897,779
8853181,new,newRenov,didDigomi,36,2,1,1,6,9,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,113,1194,943
8838437,new,newRenov,saburtalo,36,2,1,1,9,10,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1182,1250,1185
8929564,old,newRenov,didube,36,1,1,1,3,8,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,73,944,848
8948723,old,newRenov,vaja,36,1,1,1,4,5,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,237,972,952
8955345,old,newRenov,varketili,36,1,0,1,4,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,71,625,640
8957417,old,oldRenov,vera,36,1,0,1,7,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,32,1056,1088
8923866,old,oldRenov,vaja,36,2,1,2,6,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,168,969,909
8948098,old,newRenov,chugureti,36,3,2,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,129,958,1043
8940240,old,newRenov,saburtalo,36,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,831,872
8940235,old,newRenov,saburtalo,36,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,831,872
8927467,old,oldRenov,vazisubani,36,1,1,1,2,5,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,107,750,605
8931518,new,newRenov,didDigomi,37,2,1,1,10,11,5,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,89,838,779
8872132,old,newRenov,muxiani,37,2,1,1,8,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,399,605,595
