ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION,Difference
8943436,old,oldRenov,muxiani,70,2,1,1,1,5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,77,400,415,15
8924707,old,oldRenov,nadzaladevi,85,4,3,2,3,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,89,400,569,169
8955992,old,oldRenov,temqa,89,3,2,2,8,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,31,404,480,76
8914588,old,oldRenov,samgori,79,3,2,1,2,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,302,405,381,24
8938374,old,oldRenov,varketili,87,4,3,2,14,15,7,0,6,1,1,1,1,1,1,0,0,1,0,1,0,0,177,406,505,99
8935349,old,oldRenov,temqa,85,4,0,2,3,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,97,406,501,95
8692110,old,oldRenov,varketili,78,2,1,1,7,8,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1150,410,520,110
8547704,new,white,didDigomi,89,3,2,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,410,448,38
8547745,new,white,didDigomi,92,4,3,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,411,446,35
8932278,new,newRenov,didDigomi,57,3,2,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,368,412,562,150
8929430,old,oldRenov,varketili,85,3,2,2,7,9,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,169,412,514,102
8932007,old,newRenov,varketili,87,3,2,1,5,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,183,413,514,101
8954990,old,newRenov,isani,116,4,0,2,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,62,414,543,129
8942335,new,black,ortawala,435,1,0,1,13,14,0,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,414,381,33
8922797,old,oldRenov,vazisubani,120,5,3,3,6,9,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,237,417,546,129
8929402,old,oldRenov,temqa,100,4,3,2,9,9,0,0,12,1,0,1,1,1,1,0,0,1,0,1,1,0,87,418,454,36
8766666,old,oldRenov,varketili,87,4,3,1,7,9,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,577,425,404,21
8946346,old,oldRenov,didDigomi,100,3,2,1,5,15,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,88,426,492,66
8941390,old,oldRenov,varketili,105,4,3,1,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,427,466,39
8945707,new,black,didDigomi,55,2,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,429,409,20
8838242,old,oldRenov,didDigomi,105,4,3,3,2,9,4,0,15,1,1,1,1,1,1,0,0,1,0,0,1,0,482,429,506,77
8942309,old,oldRenov,temqa,100,3,2,1,6,16,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,74,430,533,103
8929744,new,white,vashlidzvari,63,3,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,430,499,69
8942938,new,black,didDigomi,59,2,0,1,6,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,97,431,507,76
8014611,old,oldRenov,saburtalo,324,5,0,3,6,7,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1153,432,599,167
8954598,old,oldRenov,gldani,60,3,2,2,5,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,168,433,530,97
8951012,old,oldRenov,gldani,90,4,3,2,4,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,66,433,497,64
8957459,new,black,didDigomi,68,2,1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,434,436,2
8910423,new,black,saburtalo,438,8,5,3,14,15,0,208,0,0,0,0,0,1,1,0,0,1,0,0,0,0,158,434,493,59
8937129,old,oldRenov,temqa,85,3,2,2,4,8,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,90,435,450,15
8959146,new,black,varketili,55,2,1,1,7,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,436,460,24
8945717,new,black,varketili,55,2,1,1,7,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,130,436,459,23
8944526,old,oldRenov,varketili,80,3,2,2,1,16,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,108,438,534,96
8924320,old,oldRenov,sandzona,130,5,2,1,7,8,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,352,438,542,104
8931607,old,oldRenov,varketili,75,2,2,1,4,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,169,440,518,78
8621540,old,oldRenov,gldani,100,4,3,1,1,9,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1029,440,491,51
8909973,old,oldRenov,isani,45,2,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,444,539,95
8481886,new,white,didDigomi,60,2,1,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,445,487,42
8746819,old,oldRenov,temqa,112,4,3,2,9,14,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,608,446,495,49
8943343,new,black,varketili,147,4,0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,450,416,34
8931230,old,oldRenov,didDigomi,80,4,2,3,5,9,3,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,195,450,549,99
8896993,new,black,didDigomi,60,3,2,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,450,420,30
8929739,new,white,vashlidzvari,61,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,451,509,58
8933135,old,newRenov,varketili,66,2,1,1,1,10,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,85,453,592,139
8923709,old,newRenov,gldani,150,3,2,3,1,9,5,35,17,1,1,1,1,1,1,1,1,1,0,1,0,0,129,453,508,55
8947479,old,newRenov,varketili,140,4,3,2,9,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,39,454,563,109
8922426,old,newRenov,didDigomi,120,4,3,2,4,16,5,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,108,454,594,140
8861862,new,black,didDigomi,52,2,2,1,3,7,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1848,454,477,23
8933844,old,oldRenov,vazisubani,70,2,1,2,9,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,93,457,484,27
8711655,old,oldRenov,varketili,98,3,2,1,5,9,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,478,459,484,25
8935490,new,black,didDigomi,65,3,2,1,1,9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,99,462,488,26
8802482,old,oldRenov,varketili,75,4,2,1,4,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1692,467,535,68
8660047,old,oldRenov,temqa,90,3,2,1,6,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,994,467,496,29
8957395,new,black,saburtalo,120,3,3,2,7,11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,78,470,692,222
8937262,new,newRenov,samgori,196,1000,0,1,127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,470,464,6
8914938,new,white,varketili,67,3,2,1,3,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,499,470,490,20
8886965,old,oldRenov,chugureti,102,3,2,1,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,231,471,712,241
8851333,new,white,vazisubani,58,3,2,1,7,18,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,344,474,598,124
8957425,new,newRenov,gldani,80,5,3,3,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,18,475,594,119
8951220,old,newRenov,sandzona,80,3,2,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,53,475,523,48
