Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
ძველი აშენებული,ახალი გარემონტებული,ავლაბარი,70,3,2,1,1,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,857
ახალი აშენებული,ახალი გარემონტებული,ავლაბარი,140,6,3,3,11,16,10,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1214
ახალი აშენებული,ახალი გარემონტებული,ავლაბარი,125,4,3,1,10,16,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1000
ძველი აშენებული,ძველი გარემონტებული,ავლაბარი,84,2,1,1,2,3,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,900
ძველი აშენებული,ახალი გარემონტებული,გლდანი,42,3,2,1,1,4,7,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,810
ძველი აშენებული,ახალი გარემონტებული,გლდანი,17,1,1,2,4,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,712
ძველი აშენებული,ახალი გარემონტებული,გლდანი,100,3,2,2,2,14,8,0,12,1,0,0,1,1,1,0,1,0,0,1,1,1,700
ძველი აშენებული,ახალი გარემონტებული,გლდანი,63,3,2,2,5,9,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,697
ძველი აშენებული,ახალი გარემონტებული,გლდანი,80,3,2,1,6,9,3,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,625
ძველი აშენებული,ახალი გარემონტებული,გლდანი,45,1,1,2,1,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,611
ძველი აშენებული,ახალი გარემონტებული,გლდანი,75,3,2,3,4,9,3,0,12,1,1,1,1,1,1,0,1,1,0,0,0,0,591
ძველი აშენებული,ახალი გარემონტებული,გლდანი,77,2,1,1,2,9,3,0,12,1,1,0,1,1,1,0,1,1,0,1,1,0,586
ძველი აშენებული,ახალი გარემონტებული,გლდანი,57,1,1,1,7,9,3,0,6,0,1,0,1,1,1,0,1,1,1,1,1,0,526
ძველი აშენებული,ახალი გარემონტებული,გლდანი,90,3,2,3,8,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,511
ძველი აშენებული,ახალი გარემონტებული,გლდანი,99,3,2,1,9,9,20,0,50,1,1,1,1,1,1,0,1,1,0,1,0,0,485
