Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ძველი აშენებული,ახალი გარემონტებული,ავლაბარი,70,3,1,0,1,0,1,1,857
ახალი აშენებული,ახალი გარემონტებული,ავლაბარი,140,6,3,10,1,1,1,1,1214
ახალი აშენებული,ახალი გარემონტებული,ავლაბარი,125,4,1,0,1,1,0,1,1000
ძველი აშენებული,ძველი გარემონტებული,ავლაბარი,84,2,1,0,1,0,0,0,900
ძველი აშენებული,ახალი გარემონტებული,გლდანი,42,3,1,7,0,1,1,0,810
ძველი აშენებული,ახალი გარემონტებული,გლდანი,17,1,2,0,1,0,0,0,712
ძველი აშენებული,ახალი გარემონტებული,გლდანი,100,3,2,20,1,1,0,0,700
ძველი აშენებული,ახალი გარემონტებული,გლდანი,63,3,2,0,1,1,1,1,697
ძველი აშენებული,ახალი გარემონტებული,გლდანი,80,3,1,3,1,1,1,1,625
ძველი აშენებული,ახალი გარემონტებული,გლდანი,45,1,2,0,0,0,0,1,611
ძველი აშენებული,ახალი გარემონტებული,გლდანი,75,3,3,15,1,0,1,1,591
ძველი აშენებული,ახალი გარემონტებული,გლდანი,77,2,1,15,1,0,1,1,586
ძველი აშენებული,ახალი გარემონტებული,გლდანი,57,1,1,9,0,0,1,2,526
ძველი აშენებული,ახალი გარემონტებული,გლდანი,90,3,3,0,1,0,1,1,511
ძველი აშენებული,ახალი გარემონტებული,გლდანი,99,3,1,70,1,0,1,1,485
ძველი აშენებული,ახალი გარემონტებული,გლდანი,130,2,3,21,1,1,1,0,462
ძველი აშენებული,ახალი გარემონტებული,გლდანი,86,1,1,6,1,0,1,0,442
ძველი აშენებული,ახალი გარემონტებული,გლდანი,105,4,1,30,1,0,1,1,400
ახალი აშენებული,ახალი გარემონტებული,გლდანი,45,2,2,0,1,1,1,1,882
ახალი აშენებული,ახალი გარემონტებული,გლდანი,56,2,1,6,1,1,1,1,802
ახალი აშენებული,ახალი გარემონტებული,გლდანი,45,2,1,5,1,0,0,1,778
ახალი აშენებული,ახალი გარემონტებული,გლდანი,48,3,1,2,1,0,0,1,771
ახალი აშენებული,ახალი გარემონტებული,გლდანი,56,3,2,4,1,1,0,1,768
ახალი აშენებული,ახალი გარემონტებული,გლდანი,80,3,1,0,1,0,0,0,750
ახალი აშენებული,ახალი გარემონტებული,გლდანი,48,2,1,0,1,0,1,2,750
ახალი აშენებული,ახალი გარემონტებული,გლდანი,46,2,1,5,0,0,0,2,739
ახალი აშენებული,ახალი გარემონტებული,გლდანი,155,5,3,9,1,1,1,1,734
ახალი აშენებული,ახალი გარემონტებული,გლდანი,64,3,1,4,0,0,0,2,719
ახალი აშენებული,ახალი გარემონტებული,გლდანი,72,3,1,0,1,0,0,1,681
ახალი აშენებული,ახალი გარემონტებული,გლდანი,68,3,1,3,1,1,1,1,674
ახალი აშენებული,ახალი გარემონტებული,გლდანი,80,2,3,10,1,1,1,2,669
ახალი აშენებული,ახალი გარემონტებული,გლდანი,117,4,1,9,1,0,0,2,641
