Status,Condition,District,Area,Rooms,Bathrooms,Balcony,lastoffirst,Heating,Parking,Storeroom,Fireplace,Furniture,Lift,Conditioner,PerSq
old,oldRenov,saburtalo,350,8,2,39,1,1,1,1,1,0,0,1,711
new,white,isani,135,3,2,25,1,0,1,0,0,0,1,0,681
new,newRenov,nucubidze,200,5,3,24,1,1,1,1,1,1,0,1,740
new,newRenov,saburtalo,180,4,1,24,1,1,1,1,0,1,1,1,1379
old,oldRenov,vake,200,4,2,41,1,1,1,1,1,0,0,1,802
old,newRenov,vadzisubani,92,4,2,21,0,1,1,1,0,0,0,0,707
new,newRenov,saburtalo,90,3,2,60,1,1,0,1,0,1,1,1,1278
old,oldRenov,vake,182,5,2,50,1,1,0,1,1,0,0,0,769
new,oldRenov,saburtalo,142,5,2,40,1,1,1,0,1,1,1,1,1197
old,newRenov,saburtalo,250,10,3,38,1,1,1,1,1,0,0,1,640
new,oldRenov,vake,160,3,2,20,1,1,1,0,0,0,1,0,938
new,newRenov,vera,110,3,2,20,1,1,0,0,0,0,1,0,955
new,newRenov,saburtalo,220,5,2,20,1,1,1,1,1,0,1,1,1045
old,oldRenov,didube,119,4,2,19,1,1,1,1,0,0,1,0,754
old,newRenov,saburtalo,140,7,2,23,1,1,0,1,0,1,0,0,1000
new,newRenov,vake,155,5,2,18,1,1,1,0,0,0,1,1,1146
new,newRenov,saburtalo,118,4,2,18,1,1,1,0,0,0,1,0,1230
new,newRenov,saburtalo,135,4,2,18,1,1,1,1,0,0,1,0,1220
new,newRenov,saburtalo,150,5,2,17,1,1,0,1,0,1,1,1,900
old,oldRenov,saburtalo,250,7,2,17,1,1,1,1,1,1,0,1,780
old,oldRenov,saburtalo,250,7,2,17,1,1,1,1,1,1,0,1,780
new,newRenov,didiDigomi,80,3,2,32,1,1,0,0,0,0,1,0,638
old,newRenov,vake,100,3,2,28,1,1,1,1,0,0,1,1,850
new,newRenov,vake,71,2,1,16,1,1,1,0,0,0,1,0,1330
new,newRenov,saburtalo,178,4,2,30,1,1,1,1,0,1,1,1,741
new,newRenov,saburtalo,200,5,3,25,1,1,1,1,1,1,1,1,850
old,oldRenov,isani,115,4,1,30,1,1,1,1,0,1,1,1,449
old,oldRenov,temka,70,3,2,23,1,1,0,0,0,1,1,0,529
new,newRenov,didiDigomi,100,4,1,15,1,1,1,1,0,1,1,0,600
new,black,didiDigomi,108,4,2,15,1,0,1,0,0,0,0,0,426
new,newRenov,digmisMas,142,4,2,15,1,1,1,0,0,1,1,1,890
old,oldRenov,digmisMas,70,2,2,15,1,0,0,0,0,0,1,0,700
new,newRenov,vake,115,3,2,15,1,1,0,0,0,0,1,1,1130
new,white,vake,164,4,2,15,1,0,1,1,0,0,1,0,928
new,white,saburtalo,91,2,1,15,1,0,0,0,0,0,0,0,700
new,newRenov,vake,70,2,1,14,1,1,0,0,0,1,1,1,971
new,newRenov,saburtalo,100,3,1,14,1,1,1,1,0,1,1,0,1184
old,newRenov,varketili,110,5,2,20,1,1,1,1,0,0,1,1,409
new,oldRenov,didube,126,4,2,13,1,1,1,1,0,1,1,1,800
new,newRenov,saburtalo,131,4,3,13,1,1,0,0,0,0,1,0,1294
new,newRenov,saburtalo,145,3,2,22,1,1,1,0,0,1,1,1,1000
new,newRenov,saburtalo,115,4,2,20,1,1,0,1,0,1,1,1,1183
old,oldRenov,nucubidze,140,4,2,26,1,1,0,1,1,0,1,0,643
old,oldRenov,didiDigomi,130,4,1,12,1,1,0,1,0,1,1,1,538
old,newRenov,digmisMas,101,4,2,12,1,1,1,1,0,0,1,0,752
new,newRenov,vake,88,3,1,12,1,1,0,1,0,0,1,0,1136
new,white,vake,85,3,1,12,1,0,0,0,0,0,0,0,765
new,newRenov,vaja,125,5,2,12,1,1,0,0,0,0,1,1,1062
new,newRenov,saburtalo,72,3,1,12,1,1,0,1,0,1,1,1,1319
new,newRenov,saburtalo,112,4,2,12,1,1,0,0,0,0,1,1,1107
new,newRenov,saburtalo,140,4,3,12,1,1,0,0,0,0,1,1,1051
new,newRenov,saburtalo,132,4,2,12,1,1,0,0,0,1,1,1,840
old,newRenov,samgori,128,5,1,12,1,0,1,0,0,1,1,1,680
old,oldRenov,saburtalo,120,3,3,20,1,1,1,1,0,1,1,1,843
new,newRenov,didube,111,3,1,11,1,1,1,1,0,1,1,1,901
new,white,vadzisubani,83,3,1,11,0,0,1,0,0,0,1,0,500
new,white,vake,155,4,2,11,1,0,0,0,0,0,1,0,993
new,newRenov,ortatsala,78,3,1,11,1,1,1,0,0,1,1,1,995
new,newRenov,saburtalo,78,2,1,11,1,1,1,0,0,1,1,1,1346
old,oldRenov,saburtalo,187,4,2,48,1,1,1,1,1,0,0,1,642
old,oldRenov,saburtalo,110,4,1,40,1,1,0,1,1,0,1,0,815
old,newRenov,saburtalo,145,4,2,28,1,1,0,1,0,1,1,0,793
old,newRenov,didiDigomi,94,3,2,25,1,1,0,1,0,0,1,0,670
old,oldRenov,digmisMas,110,4,1,24,1,1,1,1,0,0,1,0,645
old,newRenov,vaja,93,3,1,24,1,1,1,1,0,0,1,0,804
old,newRenov,saburtalo,93,3,1,24,1,1,1,1,0,0,1,0,804
old,oldRenov,vaja,107,4,1,20,1,1,0,1,0,0,1,0,1000
new,newRenov,gldani,80,2,3,10,1,1,1,0,0,1,1,1,669
new,newRenov,didiDigomi,73,3,1,10,1,1,0,0,0,1,1,1,1092
new,newRenov,didiDigomi,80,3,1,10,1,1,0,1,0,1,1,1,813
new,newRenov,didiDigomi,80,3,1,10,1,0,0,0,0,0,1,0,664
new,newRenov,didiDigomi,60,2,1,10,1,1,1,0,0,0,1,0,625
new,newRenov,didube,79,3,1,10,1,1,0,1,0,1,1,1,1087
new,newRenov,didube,96,3,1,10,1,1,1,1,0,0,1,1,833
new,white,didube,100,4,2,10,1,1,1,0,0,0,1,0,599
old,oldRenov,didube,110,4,2,10,1,0,0,1,1,0,0,0,1364
