	Area	Rooms	Bedrooms	Bathrooms	Floor	Floors	Balcony	Veranda	Loggia	Heating	Parking	Storeroom	Hot	Gas	Internet	Fireplace	Furniture	Passenger	Service	Telephone	Television	Conditioner	St_new	St_old	Co_black	Co_newRenov	Co_oldRenov	Co_white	Di_didiDigomi	Di_digmisMas	Di_gldani	Di_saburtalo	Di_vake	Di_varketili
0	48	2	1	1	4	10	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
1	76	3	2	2	2	10	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
2	58	2	1	1	9	10	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
3	48	2	1	1	8	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
4	51	2	1	1	10	12	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
5	144	4	3	2	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
6	68	3	2	1	4	5	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
7	108	4	2	2	12	16	15	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
8	72	3	0	2	5	12	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
9	129	4	3	3	5	13	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
10	60	2	0	1	17	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
11	105	4	3	1	3	14	3	8	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
12	54	2	1	1	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
13	52	2	1	1	3	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
14	45	2	1	2	3	7	0	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0
15	56	2	1	1	3	7	6	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0
16	45	2	1	1	9	13	5	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
17	48	3	2	1	11	13	2	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
18	56	3	2	2	4	10	4	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0
19	80	3	2	1	8	10	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
20	48	2	0	1	7	18	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
21	46	2	1	1	11	15	5	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
22	155	5	3	3	4	10	9	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0
