ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8745551,old,newRenov,afrika,80,3,2,1,3,9,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,779,416
8935434,old,oldRenov,afrika,84,4,3,2,6,8,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,62,393
8932896,old,oldRenov,afrika,400,5,3,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,81,58
8912537,new,newRenov,avlabari,100,4,3,2,6,6,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,132,1350
8757841,new,newRenov,avlabari,63,2,1,1,5,7,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1224,1190
8824340,new,newRenov,avlabari,70,3,2,1,3,10,5,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,507,1214
8582601,new,newRenov,avlabari,100,3,2,1,5,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,425,1401
8846274,new,newRenov,avlabari,85,3,2,2,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,203,1176
8928537,new,newRenov,avlabari,107,10,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113,692
8564271,new,newRenov,avlabari,155,5,3,3,4,7,5,15,0,1,1,1,1,1,1,0,0,1,0,0,1,0,3786,1032
8603616,old,newRenov,avlabari,70,3,2,1,1,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,896,800
8941010,old,newRenov,avlabari,50,2,1,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,104,1000
8873779,old,newRenov,avlabari,76,3,2,1,1,3,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,179,1387
8956531,new,white,avlabari,107,3,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,750
8950549,new,white,avlabari,36,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,889
8827573,new,white,avlabari,64,3,2,1,11,17,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,668,889
8529804,old,oldRenov,avlabari,114,4,3,1,2,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1476,965
8948465,old,oldRenov,avlabari,300,8,5,2,2,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,92,200
8933043,old,oldRenov,avlabari,60,3,2,1,3,9,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,104,700
