ID,Area,Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8940331,180,old,newRenov,didube,12,0,2,1,9,5,5,5,1,1,1,1,1,1,0,0,1,0,1,1,1,32,1300
8943792,460,new,newRenov,nadzaladevi,10,0,3,4,4,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,78,652
8893128,253,new,newRenov,vake,9,3,3,2,11,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,303,1186
8948959,250,old,oldRenov,chugureti,9,5,2,3,3,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,41,1100
8951124,250,old,newRenov,chugureti,9,5,2,2,3,5,10,0,1,1,1,1,1,1,0,1,0,0,1,1,1,25,1494
8910423,438,new,black,saburtalo,8,5,3,14,15,0,208,0,0,0,0,0,1,1,0,0,1,0,0,0,0,158,434
8945346,170,old,newRenov,isani,8,4,3,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,51,1980
8915523,104,new,white,saburtalo,8,2,1,4,8,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,397,596
8834055,330,new,newRenov,saburtalo,7,4,3,3,3,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,114,788
8610571,308,old,newRenov,saburtalo,7,4,2,5,6,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,442,682
8939103,256,new,newRenov,saburtalo,7,5,3,11,11,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,61,684
8554493,233,old,oldRenov,saburtalo,7,3,2,4,5,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1005,1137
8937902,220,new,black,saburtalo,7,3,3,2,5,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,41,1210
8929688,211,new,newRenov,didDigomi,7,5,3,9,9,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,59,1422
8957024,206,old,oldRenov,mtawminda,7,5,1,1,4,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,16,825
