Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
old,oldRenov,muxiani,2,1,1,1,5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,400
old,oldRenov,nadzaladevi,4,3,2,3,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,400
old,oldRenov,temqa,3,2,2,8,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,404
old,oldRenov,samgori,3,2,1,2,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,405
old,oldRenov,varketili,4,3,2,14,15,7,0,6,1,1,1,1,1,1,0,0,1,0,1,0,0,406
old,oldRenov,temqa,4,0,2,3,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,406
old,oldRenov,varketili,2,1,1,7,8,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,410
new,white,didDigomi,3,2,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410
new,white,didDigomi,4,3,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411
new,newRenov,didDigomi,3,2,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,412
old,oldRenov,varketili,3,2,2,7,9,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,412
old,newRenov,varketili,3,2,1,5,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,413
old,newRenov,isani,4,0,2,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,414
new,black,ortawala,1,0,1,13,14,0,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,414
old,oldRenov,vazisubani,5,3,3,6,9,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,417
old,oldRenov,temqa,4,3,2,9,9,0,0,12,1,0,1,1,1,1,0,0,1,0,1,1,0,418
old,oldRenov,varketili,4,3,1,7,9,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,425
